"","state","party","year","candidate","candidatevotes","totalvotes","percent"
"1","ALABAMA","REPUBLICAN",2004,"GEORGE W. BUSH",1176394,1883415,62.4606897577008
"2","ALASKA","REPUBLICAN",2004,"GEORGE W. BUSH",292267,488693,59.805849480144
"3","ARIZONA","REPUBLICAN",2004,"GEORGE W. BUSH",1104294,2012585,54.8694340860138
"4","ARKANSAS","REPUBLICAN",2016,"DONALD TRUMP",684872,1129896,60.6137202007972
"5","CALIFORNIA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",10949113,17212389,63.6118147225234
"6","COLORADO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",1804352,3256980,55.3995419069199
"7","CONNECTICUT","DEMOCRAT",2008,"BARACK OBAMA",1000291,1647085,60.7309883825061
"8","DELAWARE","DEMOCRAT",2008,"BARACK OBAMA",255459,412412,61.9426689815039
"9","DISTRICT OF COLUMBIA","DEMOCRAT",2008,"BARACK OBAMA",245800,265853,92.4571097561434
"10","FLORIDA","REPUBLICAN",2004,"GEORGE W. BUSH",3964522,7609810,52.097516232337
"11","GEORGIA","REPUBLICAN",2004,"GEORGE W. BUSH",1914254,3298790,58.0289742602591
"12","HAWAII","DEMOCRAT",2008,"BARACK OBAMA",325201,452742,71.8292095718975
"13","IDAHO","REPUBLICAN",2004,"GEORGE W. BUSH",409235,598376,68.3909448239903
"14","ILLINOIS","DEMOCRAT",2008,"BARACK OBAMA",3419673,5523051,61.9163755685037
"15","INDIANA","REPUBLICAN",2004,"GEORGE W. BUSH",1479438,2468002,59.9447650366572
"16","IOWA","DEMOCRAT",2008,"BARACK OBAMA",828940,1536820,53.9386525422626
"17","KANSAS","REPUBLICAN",2004,"GEORGE W. BUSH",736456,1187756,62.0039806155473
"18","KENTUCKY","REPUBLICAN",2016,"DONALD TRUMP",1202971,1924149,62.5196385519001
"19","LOUISIANA","REPUBLICAN",2008,"JOHN MCCAIN",1148015,1959085,58.5995503002677
"20","MAINE","DEMOCRAT",2008,"BARACK OBAMA",421923,731163,57.705737297976
"21","MARYLAND","DEMOCRAT",2012,"BARACK OBAMA",1677844,2707327,61.9741907793185
"22","MASSACHUSETTS","DEMOCRAT",2020,"JOSEPH R BIDEN JR",2382202,3658005,65.1229837028654
"23","MICHIGAN","DEMOCRAT",2008,"BARACK OBAMA",2872579,5001766,57.4312952665119
"24","MINNESOTA","DEMOCRAT",2008,"BARACK OBAMA",1573354,2910369,54.0602926982798
"25","MISSISSIPPI","REPUBLICAN",2004,"GEORGE W. BUSH",666295,1114859,59.7649568241365
"26","MISSOURI","REPUBLICAN",2020,"DONALD J TRUMP",1718736,3025962,56.7996557788895
"27","MONTANA","REPUBLICAN",2004,"GEORGE W. BUSH",266063,450434,59.0681431685885
"28","NEBRASKA","REPUBLICAN",2004,"GEORGE W. BUSH",512814,778186,65.8986411988907
"29","NEVADA","DEMOCRAT",2008,"BARACK OBAMA",533736,967848,55.1466759243187
"30","NEW HAMPSHIRE","DEMOCRAT",2008,"BARACK OBAMA",384826,710970,54.1268970561346
"31","NEW JERSEY","DEMOCRAT",2012,"BARACK OBAMA",2125101,3640292,58.3772125972312
"32","NEW MEXICO","DEMOCRAT",2008,"BARACK OBAMA",472422,830158,56.9074802627934
"33","NEW YORK","DEMOCRAT",2008,"BARACK OBAMA",4769700,7591233,62.8316901878786
"34","NORTH CAROLINA","REPUBLICAN",2000,"GEORGE W. BUSH",1631163,2911262,56.0294126739538
"35","NORTH DAKOTA","REPUBLICAN",2020,"DONALD J TRUMP",235595,361819,65.1140487370757
"36","OHIO","REPUBLICAN",2020,"DONALD J TRUMP",3154834,5922202,53.2713001008746
"37","OKLAHOMA","REPUBLICAN",2012,"MITT ROMNEY",891325,1334872,66.7723197430166
"38","OREGON","DEMOCRAT",2008,"BARACK OBAMA",1037291,1827864,56.7488062569206
"39","PENNSYLVANIA","DEMOCRAT",2008,"BARACK OBAMA",3266523,5977981,54.6425791584149
"40","RHODE ISLAND","DEMOCRAT",2008,"BARACK OBAMA",296571,471766,62.8640046124562
"41","SOUTH CAROLINA","REPUBLICAN",2004,"GEORGE W. BUSH",937974,1617730,57.9808744351653
"42","SOUTH DAKOTA","REPUBLICAN",2020,"DONALD J TRUMP",261043,422609,61.7693896722502
"43","TENNESSEE","REPUBLICAN",2016,"DONALD TRUMP",1522925,2508027,60.7220336942146
"44","TEXAS","REPUBLICAN",2004,"GEORGE W. BUSH",4526917,7410749,61.0858227690615
"45","UTAH","REPUBLICAN",2012,"MITT ROMNEY",740600,1017440,72.7905331026891
"46","VERMONT","DEMOCRAT",2008,"BARACK OBAMA",219262,325046,67.4556831956092
"47","VIRGINIA","REPUBLICAN",2004,"GEORGE W. BUSH",1716959,3198367,53.6823635311395
"48","WASHINGTON","DEMOCRAT",2020,"JOSEPH R BIDEN JR",2369612,4087631,57.9703011353031
"49","WEST VIRGINIA","REPUBLICAN",2020,"DONALD J TRUMP",545382,794652,68.6315519246161
"50","WISCONSIN","DEMOCRAT",2008,"BARACK OBAMA",1677211,2983417,56.2177865179424
"51","WYOMING","REPUBLICAN",2020,"DONALD J TRUMP",193559,278503,69.4997899484027
